Y,time,group,mouse 
0.081007,0,NRF,1
3.754137,4,NRF,1
5.036152,8,NRF,1
0.751892,12,NRF,1
0.046676,16,NRF,1
0.018629,20,NRF,1
0.010372,24,NRF,1
0.026893,0,NRF,2
0.669468,4,NRF,2
3.361107,8,NRF,2
0.775159,12,NRF,2
0.124186,16,NRF,2
0.007961,20,NRF,2
0.053468,24,NRF,2
0.015188,0,NRF,3
0.346234,4,NRF,3
3.842968,8,NRF,3
0.224734,12,NRF,3
0.105289,16,NRF,3
0.017984,20,NRF,3
0.047846,24,NRF,3
0.053018,0,NRF,4
1.482367,4,NRF,4
4.736592,8,NRF,4
0.415914,12,NRF,4
0.018415,16,NRF,4
0.032886,20,NRF,4
0.002564,24,NRF,4
1.244574,0,DRF,5
0.216903,4,DRF,5
0.173936,8,DRF,5
0.108009,12,DRF,5
1.042801,16,DRF,5
2.181116,20,DRF,5
1.569122,24,DRF,5
1.239939,0,DRF,6
0.246799,4,DRF,6
0.160605,8,DRF,6
0.14802,12,DRF,6
0.919381,16,DRF,6
2.564436,20,DRF,6
1.255622,24,DRF,6
0.829368,0,DRF,7
0.159629,4,DRF,7
0.103377,8,DRF,7
0.159099,12,DRF,7
1.223748,16,DRF,7
2.645337,20,DRF,7
1.150903,24,DRF,7
1.087638,0,DRF,8
0.164244,4,DRF,8
0.149292,8,DRF,8
0.134294,12,DRF,8
1.858197,16,DRF,8
3.128865,20,DRF,8
1.385559,24,DRF,8
